ID,Benchmark,Data_Indices,Status,Error_Type
drop_2_0,drop,0_334,execution_failed,SyntaxError
drop_1_0,drop,158_303,verified_incorrect,
drop_0_0,drop,5_166,verified_incorrect,
drop_2_1,drop,0_334,verified_correct,
drop_0_1,drop,5_166,verified_correct,
drop_1_1,drop,158_303,verified_incorrect,
drop_3_0,drop,205_9,verified_correct,
drop_3_1,drop,205_9,verified_incorrect,
drop_4_0,drop,390_45,verified_incorrect,
drop_4_1,drop,390_45,verified_correct,
drop_6_0,drop,339_99,execution_failed,SyntaxError
drop_5_1,drop,2_63,verified_correct,
drop_5_0,drop,2_63,verified_incorrect,
drop_6_1,drop,339_99,verified_incorrect,
drop_8_1,drop,102_116,verified_correct,
drop_9_0,drop,46_90,verified_incorrect,
drop_8_0,drop,102_116,verified_correct,
drop_9_1,drop,46_90,verified_incorrect,
drop_7_1,drop,241_42,verified_correct,
drop_7_0,drop,241_42,verified_correct,
drop_10_1,drop,169_163,verified_incorrect,
drop_11_1,drop,243_304,verified_correct,
drop_10_0,drop,169_163,verified_incorrect,
drop_12_0,drop,389_343,verified_incorrect,
drop_11_0,drop,243_304,verified_correct,
drop_13_0,drop,145_269,verified_incorrect,
drop_12_1,drop,389_343,verified_correct,
drop_13_1,drop,145_269,verified_correct,
drop_14_0,drop,24_290,verified_incorrect,
drop_14_1,drop,24_290,verified_incorrect,
drop_16_1,drop,201_82,execution_failed,SyntaxError
drop_17_0,drop,298_83,verified_incorrect,
drop_17_1,drop,298_83,verified_incorrect,
drop_15_1,drop,50_265,verified_incorrect,
drop_16_0,drop,201_82,verified_incorrect,
drop_18_0,drop,352_228,verified_incorrect,
drop_15_0,drop,50_265,verified_correct,
drop_18_1,drop,352_228,verified_correct,
drop_19_0,drop,375_189,verified_correct,
drop_19_1,drop,375_189,verified_correct,
drop_22_0,drop,246_177,execution_failed,SyntaxError
drop_21_0,drop,59_297,verified_incorrect,
drop_21_1,drop,59_297,verified_incorrect,
drop_20_0,drop,315_31,verified_incorrect,
drop_22_1,drop,246_177,verified_correct,
drop_24_0,drop,344_172,execution_failed,SyntaxError
drop_20_1,drop,315_31,verified_incorrect,
drop_23_1,drop,355_226,verified_incorrect,
drop_23_0,drop,355_226,verified_correct,
drop_24_1,drop,344_172,verified_correct,
drop_27_0,drop,288_44,execution_failed,SyntaxError
drop_27_1,drop,288_44,verified_incorrect,
drop_26_1,drop,317_161,verified_incorrect,
drop_25_1,drop,173_266,verified_correct,
drop_26_0,drop,317_161,verified_incorrect,
drop_25_0,drop,173_266,verified_correct,
drop_28_0,drop,250_342,execution_failed,SyntaxError
drop_29_0,drop,58_11,execution_failed,SyntaxError
drop_29_1,drop,58_11,verified_incorrect,
drop_28_1,drop,250_342,verified_correct,
drop_30_1,drop,217_40,verified_incorrect,
drop_30_0,drop,217_40,verified_correct,
drop_31_0,drop,270_224,verified_incorrect,
drop_32_0,drop,291_73,verified_correct,
drop_32_1,drop,291_73,verified_incorrect,
drop_31_1,drop,270_224,verified_correct,
drop_33_1,drop,264_86,verified_incorrect,
drop_33_0,drop,264_86,verified_incorrect,
drop_34_1,drop,35_183,verified_incorrect,
drop_34_0,drop,35_183,verified_correct,
drop_36_0,drop,286_107,verified_incorrect,
drop_37_0,drop,7_392,verified_incorrect,
drop_35_1,drop,48_174,verified_correct,
drop_36_1,drop,286_107,verified_incorrect,
drop_35_0,drop,48_174,verified_correct,
drop_37_1,drop,7_392,verified_incorrect,
drop_38_0,drop,20_248,verified_incorrect,
drop_38_1,drop,20_248,verified_correct,
drop_39_1,drop,64_55,verified_incorrect,
drop_39_0,drop,64_55,verified_incorrect,
drop_41_0,drop,15_22,verified_incorrect,
drop_41_1,drop,15_22,verified_incorrect,
drop_42_0,drop,208_364,verified_incorrect,
drop_40_0,drop,98_308,verified_incorrect,
drop_40_1,drop,98_308,verified_correct,
drop_42_1,drop,208_364,verified_incorrect,
drop_43_0,drop,216_367,verified_incorrect,
drop_43_1,drop,216_367,verified_incorrect,
drop_44_1,drop,275_320,verified_incorrect,
drop_44_0,drop,275_320,verified_incorrect,
drop_45_0,drop,260_57,verified_incorrect,
drop_46_0,drop,28_215,verified_incorrect,
drop_47_1,drop,261_178,verified_incorrect,
drop_47_0,drop,261_178,verified_correct,
drop_45_1,drop,260_57,verified_correct,
drop_49_1,drop,363_108,verified_incorrect,
drop_48_0,drop,62_93,verified_incorrect,
drop_49_0,drop,363_108,verified_incorrect,
drop_48_1,drop,62_93,verified_correct,
drop_46_1,drop,28_215,verified_correct,
drop_52_0,drop,280_374,verified_incorrect,
drop_50_0,drop,157_338,verified_incorrect,
drop_51_0,drop,110_302,verified_incorrect,
drop_53_0,drop,39_371,execution_failed,SyntaxError
drop_51_1,drop,110_302,verified_incorrect,
drop_50_1,drop,157_338,verified_incorrect,
drop_54_1,drop,34_206,verified_incorrect,
drop_52_1,drop,280_374,verified_correct,
drop_53_1,drop,39_371,verified_correct,
drop_54_0,drop,34_206,verified_incorrect,
drop_55_1,drop,262_393,verified_incorrect,
drop_56_0,drop,30_69,verified_incorrect,
drop_55_0,drop,262_393,verified_correct,
drop_56_1,drop,30_69,verified_correct,
drop_57_0,drop,370_234,verified_incorrect,
drop_58_1,drop,253_117,verified_correct,
drop_59_0,drop,97_87,verified_correct,
drop_58_0,drop,253_117,verified_correct,
drop_59_1,drop,97_87,verified_correct,
drop_57_1,drop,370_234,verified_correct,
drop_61_1,drop,151_129,verified_incorrect,
drop_61_0,drop,151_129,verified_incorrect,
drop_60_0,drop,4_88,verified_correct,
drop_62_0,drop,195_294,verified_incorrect,
drop_63_0,drop,147_350,verified_incorrect,
drop_60_1,drop,4_88,verified_correct,
drop_64_0,drop,312_279,verified_incorrect,
drop_62_1,drop,195_294,verified_incorrect,
drop_63_1,drop,147_350,verified_correct,
drop_64_1,drop,312_279,verified_correct,
drop_66_0,drop,8_156,verified_incorrect,
drop_65_1,drop,23_378,verified_correct,
drop_65_0,drop,23_378,verified_incorrect,
drop_67_0,drop,136_232,verified_incorrect,
drop_66_1,drop,8_156,verified_correct,
drop_69_0,drop,33_181,verified_incorrect,
drop_68_1,drop,329_251,verified_incorrect,
drop_68_0,drop,329_251,verified_incorrect,
drop_69_1,drop,33_181,verified_correct,
drop_67_1,drop,136_232,verified_correct,
drop_72_0,drop,164_351,execution_failed,SyntaxError
drop_71_0,drop,306_152,execution_failed,SyntaxError
drop_70_0,drop,138_60,execution_failed,SyntaxError
drop_73_0,drop,235_114,execution_failed,SyntaxError
drop_71_1,drop,306_152,verified_incorrect,
drop_70_1,drop,138_60,verified_correct,
drop_72_1,drop,164_351,verified_incorrect,
drop_74_1,drop,278_17,verified_correct,
drop_74_0,drop,278_17,verified_correct,
drop_73_1,drop,235_114,verified_correct,
drop_76_1,drop,382_203,verified_correct,
drop_77_0,drop,184_384,verified_incorrect,
drop_76_0,drop,382_203,verified_correct,
drop_75_1,drop,202_373,verified_correct,
drop_75_0,drop,202_373,verified_correct,
drop_78_1,drop,318_377,verified_incorrect,
drop_78_0,drop,318_377,verified_incorrect,
drop_79_1,drop,66_354,verified_incorrect,
drop_77_1,drop,184_384,verified_correct,
drop_79_0,drop,66_354,verified_correct,
drop_82_0,drop,72_16,verified_incorrect,
drop_81_0,drop,133_296,verified_correct,
drop_83_0,drop,56_321,execution_failed,SyntaxError
