ID,Benchmark,Data_Indices,Status,Error_Type
gsm8k_1_0,gsm8k,313_203_892,verified_incorrect,
gsm8k_1_1,gsm8k,313_203_892,verified_incorrect,
gsm8k_2_1,gsm8k,355_791_991,verified_incorrect,
gsm8k_2_0,gsm8k,355_791_991,verified_correct,
gsm8k_0_1,gsm8k,476_238_594,verified_correct,
gsm8k_3_0,gsm8k,945_267,verified_incorrect,
gsm8k_0_0,gsm8k,476_238_594,verified_incorrect,
gsm8k_3_1,gsm8k,945_267,verified_correct,
gsm8k_4_1,gsm8k,91_654,verified_incorrect,
gsm8k_4_0,gsm8k,91_654,verified_correct,
gsm8k_5_0,gsm8k,78_826_506,verified_incorrect,
gsm8k_6_1,gsm8k,32_494,verified_correct,
gsm8k_5_1,gsm8k,78_826_506,verified_correct,
gsm8k_6_0,gsm8k,32_494,verified_correct,
gsm8k_7_1,gsm8k,917_698,verified_incorrect,
gsm8k_7_0,gsm8k,917_698,verified_correct,
gsm8k_9_1,gsm8k,453_461_211,verified_incorrect,
gsm8k_8_1,gsm8k,960_625,verified_correct,
gsm8k_8_0,gsm8k,960_625,verified_incorrect,
gsm8k_9_0,gsm8k,453_461_211,verified_correct,
gsm8k_10_1,gsm8k,177_874_318,verified_correct,
gsm8k_13_0,gsm8k,843_419,execution_failed,NameError
gsm8k_12_1,gsm8k,801_422_633,verified_incorrect,
gsm8k_12_0,gsm8k,801_422_633,verified_incorrect,
gsm8k_11_0,gsm8k,693_8_48,verified_incorrect,
gsm8k_11_1,gsm8k,693_8_48,verified_incorrect,
gsm8k_10_0,gsm8k,177_874_318,verified_incorrect,
gsm8k_14_0,gsm8k,311_656,verified_correct,
gsm8k_14_1,gsm8k,311_656,verified_incorrect,
gsm8k_13_1,gsm8k,843_419,verified_correct,
gsm8k_16_0,gsm8k,194_553_435,verified_incorrect,
gsm8k_15_0,gsm8k,425_804,verified_incorrect,
gsm8k_17_0,gsm8k,719_112_254,verified_incorrect,
gsm8k_16_1,gsm8k,194_553_435,verified_incorrect,
gsm8k_17_1,gsm8k,719_112_254,verified_incorrect,
gsm8k_18_0,gsm8k,725_329_649,verified_correct,
gsm8k_18_1,gsm8k,725_329_649,verified_correct,
gsm8k_19_0,gsm8k,644_246_385,verified_incorrect,
gsm8k_19_1,gsm8k,644_246_385,verified_correct,
gsm8k_15_1,gsm8k,425_804,verified_incorrect,
gsm8k_20_0,gsm8k,606_241,verified_incorrect,
gsm8k_21_0,gsm8k,554_221_349,verified_correct,
gsm8k_20_1,gsm8k,606_241,verified_correct,
gsm8k_21_1,gsm8k,554_221_349,verified_incorrect,
gsm8k_22_0,gsm8k,954_835_909,verified_incorrect,
gsm8k_22_1,gsm8k,954_835_909,verified_incorrect,
gsm8k_23_1,gsm8k,468_197_853,verified_correct,
gsm8k_23_0,gsm8k,468_197_853,verified_correct,
gsm8k_24_0,gsm8k,940_729_565,verified_correct,
gsm8k_24_1,gsm8k,940_729_565,verified_incorrect,
gsm8k_27_0,gsm8k,638_430,verified_incorrect,
gsm8k_26_0,gsm8k,919_426,verified_incorrect,
gsm8k_25_0,gsm8k,483_685_764,verified_correct,
gsm8k_27_1,gsm8k,638_430,verified_incorrect,
gsm8k_26_1,gsm8k,919_426,verified_incorrect,
gsm8k_29_1,gsm8k,140_171,verified_incorrect,
gsm8k_25_1,gsm8k,483_685_764,verified_incorrect,
gsm8k_28_0,gsm8k,126_326,verified_incorrect,
gsm8k_29_0,gsm8k,140_171,verified_correct,
gsm8k_28_1,gsm8k,126_326,verified_correct,
gsm8k_32_1,gsm8k,632_730_164,verified_correct,
gsm8k_31_0,gsm8k,192_984_756,verified_correct,
gsm8k_32_0,gsm8k,632_730_164,verified_correct,
gsm8k_33_0,gsm8k,680_844,verified_correct,
gsm8k_30_0,gsm8k,503_938_854,verified_incorrect,
gsm8k_31_1,gsm8k,192_984_756,verified_incorrect,
gsm8k_33_1,gsm8k,680_844,verified_correct,
gsm8k_34_0,gsm8k,757_534,verified_correct,
gsm8k_34_1,gsm8k,757_534,verified_correct,
gsm8k_30_1,gsm8k,503_938_854,verified_incorrect,
gsm8k_37_0,gsm8k,118_517_457,verified_incorrect,
gsm8k_35_0,gsm8k,128_270,verified_incorrect,
gsm8k_37_1,gsm8k,118_517_457,verified_correct,
gsm8k_35_1,gsm8k,128_270,verified_correct,
gsm8k_36_0,gsm8k,996_516,verified_correct,
gsm8k_38_0,gsm8k,121_618_498,verified_incorrect,
gsm8k_39_0,gsm8k,12_401,verified_correct,
gsm8k_38_1,gsm8k,121_618_498,verified_correct,
gsm8k_36_1,gsm8k,996_516,verified_incorrect,
gsm8k_39_1,gsm8k,12_401,verified_correct,
gsm8k_42_1,gsm8k,933_697_25,verified_incorrect,
gsm8k_41_0,gsm8k,700_403,verified_incorrect,
gsm8k_41_1,gsm8k,700_403,verified_incorrect,
gsm8k_40_0,gsm8k,673_713,verified_correct,
gsm8k_40_1,gsm8k,673_713,verified_correct,
gsm8k_42_0,gsm8k,933_697_25,verified_correct,
gsm8k_44_0,gsm8k,914_391_406,verified_incorrect,
gsm8k_43_1,gsm8k,368_268,verified_correct,
gsm8k_43_0,gsm8k,368_268,verified_incorrect,
gsm8k_44_1,gsm8k,914_391_406,verified_correct,
gsm8k_47_1,gsm8k,52_628_905,verified_correct,
gsm8k_47_0,gsm8k,52_628_905,verified_incorrect,
gsm8k_45_1,gsm8k,518_539,verified_correct,
gsm8k_46_0,gsm8k,482_718,verified_incorrect,
gsm8k_45_0,gsm8k,518_539,verified_correct,
gsm8k_46_1,gsm8k,482_718,verified_correct,
gsm8k_49_0,gsm8k,360_653,verified_incorrect,
gsm8k_48_1,gsm8k,275_373_334,verified_correct,
gsm8k_48_0,gsm8k,275_373_334,verified_correct,
gsm8k_49_1,gsm8k,360_653,verified_correct,
gsm8k_51_0,gsm8k,325_528,verified_incorrect,
gsm8k_51_1,gsm8k,325_528,verified_correct,
gsm8k_50_1,gsm8k,785_438,verified_correct,
gsm8k_50_0,gsm8k,785_438,verified_incorrect,
gsm8k_52_0,gsm8k,627_193,verified_correct,
gsm8k_52_1,gsm8k,627_193,verified_correct,
gsm8k_53_0,gsm8k,775_160_741,verified_correct,
gsm8k_54_0,gsm8k,736_752,verified_incorrect,
gsm8k_53_1,gsm8k,775_160_741,verified_incorrect,
gsm8k_54_1,gsm8k,736_752,verified_incorrect,
gsm8k_55_1,gsm8k,846_469,verified_correct,
gsm8k_56_0,gsm8k,694_621_117,verified_incorrect,
gsm8k_55_0,gsm8k,846_469,verified_incorrect,
gsm8k_57_0,gsm8k,894_44_502,verified_correct,
gsm8k_57_1,gsm8k,894_44_502,verified_incorrect,
gsm8k_56_1,gsm8k,694_621_117,verified_correct,
gsm8k_58_0,gsm8k,989_717,verified_incorrect,
gsm8k_58_1,gsm8k,989_717,verified_correct,
gsm8k_59_1,gsm8k,980_969_735,verified_correct,
gsm8k_59_0,gsm8k,980_969_735,verified_correct,
gsm8k_62_1,gsm8k,863_722,verified_incorrect,
